Nationalratswahlen,,,,,,,,,,,,,,,,,,,,,,,,,T,17.2.3.3.2
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FDP,CVP,SP,SVP,LPS,EVP,CSP,GLP,BDP,PdA,GPS,Sol,SD,EDU,Lega,MCR,Uebrige,Total,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,15.10454538,12.30401214,18.72217786,26.55622988,0,1.997398211,0.255774376,5.380890742,5.415401037,0.540996635,8.432806183,0.338466878,0.200310218,1.271423464,0.804760529,0.438622079,2.236184388,100,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Zuerich,1,11.643246,5.030288942,19.27249111,29.83917851,0,3.069945142,0.156729386,11.48505205,5.277467431,0.238802369,8.394314512,0,0.281454925,2.168267797,0,0,3.142761828,100,,,,,,,
Bern,2,8.655596161,2.066581693,19.32749937,28.98804432,0,4.173502803,0,5.291395429,14.88029357,0.3426402,9.414721526,0,0.560954034,3.103915187,0,0,3.194855707,100,,,,,,,
Luzern,3,18.37405458,27.11012371,11.46693374,25.09885421,0,0.745640996,0,6.121093214,2.138398225,0,8.275460047,0,0.212785584,0,0,0,0.456655693,100,,,,,,,
Uri,4,74.26804124,0,21.46804124,0,0,0,0,0,0,0,0,0,0,0,0,0,4.263917526,100,,,,,,,
Schwyz,5,15.47863334,20.55377669,15.65745816,37.98471285,0,1.106181853,0,0,3.446202215,0,3.831282211,0,0,0,0,0,1.941752694,100,,,,,,,
Obwalden,6,0,0,0,43.10201471,0,0,0,0,0,0,0,0,0,0,0,0,56.89798529,100,,,,,,,
Nidwalden,7,35.2020202,0,0,45.23007856,0,0,0,0,0,0,19.56790123,0,0,0,0,0,0,100,,,,,,,
Glarus,8,0,0,24.5584115,0,0,0,0,0,61.71275429,0,0,0,0,0,0,0,13.72883421,100,,,,,,,
Zug,9,19.23007874,24.29022082,5.272156823,28.31080677,0,0,0,6.790455917,0,0,15.36422935,0,0,0,0,0,0.742051585,100,,,,,,,
Freiburg,10,12.79851094,20.25635602,26.68116249,21.44913067,0,0.697829857,5.469774525,3.549896358,1.891788993,0,4.955539574,0,0,0.707813359,0,0,1.542197217,100,,,,,,,
Solothurn,11,18.40793578,17.85551286,18.30405999,24.32656587,0,1.462440312,0,4.975405157,4.363601267,0,7.497542152,0,0,0.485517097,0,0,2.321419516,100,,,,,,,
Basel-Stadt,12,12.30763677,6.527444362,29.1222497,16.52293197,6.826345144,2.498059672,0,5.826038301,2.230926123,0,13.43898345,0,0,0.511885638,0,0,4.187498872,100,,,,,,,
Basel-Landschaft,13,11.4503284,8.24348323,24.44426047,26.94610292,0,3.286874255,0,5.001574609,6.351842292,0,13.59991299,0,0.675620834,0,0,0,0,100,,,,,,,
Schaffhausen,14,12.29504001,5.227866027,34.56124486,39.86077224,0,0,0,0,0,0,0,0,0,3.784401713,0,0,4.270675152,100,,,,,,,
Appenzell_A_Rh,15,51.51027909,10.56621109,0,30.50419203,0,0,0,0,0,0,6.397151717,0,0,0,0,0,1.022166073,100,,,,,,,
Appenzell_I_Rh,16,0,76.09600784,20.32819006,0,0,0,0,0,0,0,0,0,0,0,0,0,3.575802106,100,,,,,,,
St.Gallen,17,12.26419643,20.32108797,16.6866379,31.52377145,0,1.826044521,0,5.973612107,3.789437787,0,6.391655593,0,0,1.223556251,0,0,0,100,,,,,,,
Graubuenden,18,11.90055211,16.6368594,15.60647631,24.48599397,0,0,0,8.250177828,20.45422213,0,2.157978525,0,0,0.507739728,0,0,0,100,,,,,,,
Aargau,19,11.48342273,10.59282373,18.04060939,34.74439193,0,3.221308554,0,5.667825468,6.142814028,0,7.305001487,0,0.379313697,1.171543791,0,0,1.25094519,100,,,,,,,
Thurgau,20,11.24926727,14.3730676,12.08165236,38.67429859,0,2.930243785,0,5.214532832,4.958449709,0,7.036309093,0,0,3.482178775,0,0,0,100,,,,,,,
Tessin,21,24.84659845,19.96088188,16.59998543,9.706544709,0,0,0,0,0,1.221429142,6.740762075,0,0,0,17.54034707,0,3.383451255,100,,,,,,,
Waadt,22,16.26925991,4.627629539,25.15862002,22.93795672,5.727087872,1.06443338,0,5.100805134,0.831486958,2.119991965,11.57486618,1.80642718,0.087968861,1.097222697,0,0.528761617,1.067481974,100,,,,,,,
Wallis,23,18.79991915,39.90399448,14.62257962,19.68195954,0,0,0.719982317,0,0.631329101,0,4.990466824,0,0,0,0,0,0.64976897,100,,,,,,,
Neuenburg,24,26.86060768,3.492275798,24.72235226,21.38567512,0,0,0,0,1.485097751,10.40103435,11.65295704,0,0,0,0,0,0,100,,,,,,,
Genf,25,18.64718499,9.77259441,19.13523653,16.02402264,0,1.017309403,0,3.168755891,0,1.278588597,14.02299294,5.204567751,0,0,0,9.782322402,1.946424458,100,,,,,,,
Jura,26,9.496596161,33.24605542,30.82807768,15.46412878,0,0,0,0,0,0,10.96514196,0,0,0,0,0,0,100,,,,,,,
